online/9/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/9/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/10/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/10/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/11/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/11/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/12/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/12/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/9/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/9/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/10/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/10/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum sports ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum sports } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/11/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/11/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
online/12/1	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ;	here is a random article . would you like to label it ?	$dialogue @org.thingpedia.dialogue.transaction . sys_recommend_one ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) #[ confirm = enum proposed ] ;
online/12/2	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . training_news_article ( topic = enum tech ) #[ results = [ { id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 , title = QUOTED_STRING_0 , description = QUOTED_STRING_1 , link = URL_0 , topic = enum tech } ] ] ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;	is this article relevant to the topic ?	$dialogue @org.thingpedia.dialogue.transaction . execute ; @org.itspersonal.newsfilter . mark_training_news_article ( id = GENERIC_ENTITY_org.itspersonal.newsfilter:training_news_article_0 ) ;
