Delicious warm or cold. A staple for every vegan kitchen!	delicious warm or cold . a staple for every vegan kitchen !	1
Chunks of firm tofu are marinated with vegetables in a sauce made with sriracha, soy sauce, sesame oil, onion, and jalapeno.	chunks of firm tofu are marinated with vegetables in a sauce made with sriracha , soy sauce , sesame oil , onion , and jalapeno .	1
Tofu scrambles up just like eggs, and with some clever spices, even non-vegans will barely notice the difference. Try setting out toppings to let family or guests assemble their own burrito bowls.	tofu scrambles up just like eggs , and with some clever spices , even non-vegans will barely notice the difference . try setting out toppings to let family or guests assemble their own burrito bowls .	1
Breaded tofu a la parmigiana. You'll just about swear this is eggplant or veal! One of my husband's favorites, and he doesn't even suspect!  Serve with a simple crisp green salad, angel hair pasta and garlic bread.	breaded tofu a la parmigiana . you 'll just about swear this is eggplant or veal ! one of my husband 's favorites , and he does n't even suspect ! serve with a simple crisp green salad , angel hair pasta and garlic bread .	1
Great sandwich when you're short on time and hungry!!	great sandwich when you 're short on time and hungry !!	1
This quick and easy Japanese fried tofu recipe is a great appetizer. Crispy fried cubes of tofu are served with a tasty sauce and chopped green onion.	this quick and easy japanese fried tofu recipe is a great appetizer . crispy fried cubes of tofu are served with a tasty sauce and chopped green onion .	1
A vegan alternative especially good for Thanksgiving dinner! Serve with a vegetarian gravy and all the fixings. Enjoy!	a vegan alternative especially good for thanksgiving dinner ! serve with a vegetarian gravy and all the fixings . enjoy !	1
This tofu recipe is completely gorgeous. A former roommate introduced me to some basics with tofu, and over the past few years, I've settled on this ratio of spices and other breading ingredients. The crust on the tofu sticks is tasty and the texture is really wonderful. Serve with a relish or a dip of some sort (I love this with plain yogurt mixed with eggplant brinjal). I usually make this with a cumin-scented rice dish and a garlicky broccoli side.	this tofu recipe is completely gorgeous . a former roommate introduced me to some basics with tofu , and over the past few years , i 've settled on this ratio of spices and other breading ingredients . the crust on the tofu sticks is tasty and the texture is really wonderful . serve with a relish or a dip of some sort -lrb- i love this with plain yogurt mixed with eggplant brinjal -rrb- . i usually make this with a cumin-scented rice dish and a garlicky broccoli side .	1
A great way to eat tofu -- without even knowing it!  Very refreshing, especially for breakfast or as a snack.  Tinker with it until you find the perfect combo for you.	a great way to eat tofu -- without even knowing it ! very refreshing , especially for breakfast or as a snack . tinker with it until you find the perfect combo for you .	1
A vegan alternative to ricotta for lasagna.	a vegan alternative to ricotta for lasagna .	1
Good for people who aren't reluctant to try tofu.  After this lasagna you and your guests will love it!	good for people who are n't reluctant to try tofu . after this lasagna you and your guests will love it !	1
This is an easy vegetarian tofu vindaloo similar to the kind found in Indian restaurants. Serve with basmati rice.	this is an easy vegetarian tofu vindaloo similar to the kind found in indian restaurants . serve with basmati rice .	1
This is one of the really traditional easy dishes in Japan. My dad likes it so much. We often eat this dish with the rice, miso soup, grilled fish and Japanese pickles in the morning.	this is one of the really traditional easy dishes in japan . my dad likes it so much . we often eat this dish with the rice , miso soup , grilled fish and japanese pickles in the morning .	1
This salad has tofu, snow peas, ginger and garlic!	this salad has tofu , snow peas , ginger and garlic !	1
Tastes just like chicken noodle soup but with tofu.  I add raisins to this soup, just like grandma used to.	tastes just like chicken noodle soup but with tofu . i add raisins to this soup , just like grandma used to .	1
This is a great Chinese recipe. I love this dish - you can control the spice by varying the cayenne. I hope you like it as much as I do.	this is a great chinese recipe . i love this dish - you can control the spice by varying the cayenne . i hope you like it as much as i do .	1
No one will ever know that these giant pasta shells contain tofu...unless you tell!	no one will ever know that these giant pasta shells contain tofu ... unless you tell !	1
Cauliflower and tofu in a medium-hot masala sauce. Serve over basmati rice or with naan.	cauliflower and tofu in a medium-hot masala sauce . serve over basmati rice or with naan .	1
The first time I had a spicy, cold rice noodle salad, it wasn't the bold flavors that caught me by surprise, but the strange and addictive texture.	the first time i had a spicy , cold rice noodle salad , it was n't the bold flavors that caught me by surprise , but the strange and addictive texture .	1
This is an adaptation of yellow chicken curry from India. The aromas and flavors are a delight to the senses! It is best served with fresh Naan bread and Jasmine or Basmati rice.	this is an adaptation of yellow chicken curry from india . the aromas and flavors are a delight to the senses ! it is best served with fresh naan bread and jasmine or basmati rice .	1
Spicy jerk seasoning gives this curried coconut chicken a island twist that's not to be missed. Serve the chicken and sauce with a big bowl of steaming brown rice.	spicy jerk seasoning gives this curried coconut chicken a island twist that 's not to be missed . serve the chicken and sauce with a big bowl of steaming brown rice .	1
This soul-warming soup is deliciously simple -- just chicken and noodles. What makes it so good is the homemade roasted chicken stock.	this soul-warming soup is deliciously simple -- just chicken and noodles . what makes it so good is the homemade roasted chicken stock .	1
Everybody likes chicken and rice. Just about every major culture has some sort of version of this archetypal recipe (by the way, people from minor cultures please save your emails). This is pure down-to-the-bone comfort food.	everybody likes chicken and rice . just about every major culture has some sort of version of this archetypal recipe -lrb- by the way , people from minor cultures please save your emails -rrb- . this is pure down - to-the-bone comfort food .	1
I love lamb burgers and lamb meatballs, so it's no surprise that I love lamb-stuffed cabbage rolls, and I'm happy to report that these particular 'lambage rolls' were the best non-beef version yet!	i love lamb burgers and lamb meatballs , so it 's no surprise that i love lamb-stuffed cabbage rolls , and i 'm happy to report that these particular ` lambage rolls ' were the best non-beef version yet !	1
You'll need a large, heavy-duty roasting pan (or a couple of smaller ones) and a very hot oven for this delicious dish. The long oven time makes everything beautifully caramelized and the chicken fork tender.	you 'll need a large , heavy-duty roasting pan -lrb- or a couple of smaller ones -rrb- and a very hot oven for this delicious dish . the long oven time makes everything beautifully caramelized and the chicken fork tender .	1
There's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it's cooked. Sure, you have to stir it a few times, and it helps if you add stuff in the right order. But for how delicious this comes out, you're doing very little actual work.	there 's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it 's cooked . sure , you have to s tir it a few times , and it helps if you add stuff in the right order . but for how delicious this comes out , you 're doing very little actual work .	1
Orzo gets cooked risotto-style, using a flavorful stock made with braised chicken and sausage.	orzo gets cooked risotto-style , using a flavorful stock made with braised chicken and sausage .	1
An easy to make light salad that can be served with or without chicken for vegetarians.	an easy to make light salad that can be served with or without chicken for vegetarians .	1
I sometimes chop up a chipotle pepper and throw it in with some adobo sauce for a twist.  I don't measure spices, so my measurements are conservative.	i sometimes chop up a chipotle pepper and throw it in with some adobo sauce for a twist . i do n't measure spices , so my measurements are conservative .	1
This stunning dish is an amazing combination of sweet, spicy, and salty flavors all sticking to succulent pieces of chicken.	this stunning dish is an amazing combination of sweet , spicy , and salty flavors all sticking to succulent pieces of chicken .	1
In this Basque-inspired braised lamb shoulder, the radishes that are cooked with the lamb absorb the other flavors in the dish. I really hope you give this strange, but exciting braised lamb dish a try soon.	in this basque-inspired braised lamb shoulder , the radishes that are cooked with the lamb absorb the other flavors in the dish . i really hope you give this strange , but exciting braised lamb dish a tr y soon .	1
Chicken à la King is one of my favorite classic comfort foods. This recipe is easy to adapt--you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand. Usually I make this with leftovers from a large roasted chicken. Serve over pasta, toast, rice, or mashed potatoes.	chicken à la king is one of my favorite classic comfort foods . this recipe is easy to adapt -- you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand . usually i make this with leftovers from a large roasted chicken . serve over pasta , toast , rice , or mashed potatoes .	1
Rocket is another name for arugula. I love to use it as an herb, but don't buy it in the herb section of the supermarket; buy it in the lettuce section. This is an incredibly fast, incredibly simple, but satisfying rustic bean side dish.	rocket is another name for arugula . i love to use it as an herb , but do n't buy it in the herb section of the supermarket ; buy it in the lettuce section . this is an incredibly fast , incredibly simple , but satisfying rustic bean side dish .	1
A savory combination of chicken, sweet potato, and spinach is seasoned with sage, sweetened with pear, given a splash of whiskey for a kick, and topped with toasted hazelnuts. It makes a lovely fall supper!	a savory combination of chicken , sweet potato , and spinach is seasoned with sage , sweetened with pear , given a splash of whiskey for a kick , and topped with toasted hazelnuts . it makes a lovely fall s upper !	1
A great chicken recipe that I have made for years. Serve with rice and a fresh veggie. Impressive!	a great chicken recipe that i have made for years . serve with rice and a fresh veggie . impressive !	1
An economical and family-friendly meal.	an economical and family-friendly meal .	1
This chicken is good with either rice or pasta. Green beans make a nice side dish.	this chicken is good with either rice or pasta . green beans make a nice side dish .	1
This recipe came about from a lot of experimenting over the years. My family and friends like this version the best. Serve over cooked rice.	this recipe came about from a lot of experimenting over the years . my family and friends like this version the best . serve over cooked rice .	1
This soup is so yummy on a cold day.	this soup is so yummy on a cold day .	1
This delicious chicken recipe includes a simple exercise in pan gravy perfection. If I only had one day to teach someone how to cook, you better believe this archetypal sauce recipe would be one of the first things I'd demonstrate.	this delicious chicken recipe includes a simple exercise in pan gravy perfection . if i only had one day to teach someone how to cook , you better believe this archetypal sauce recipe would be one of th e first things i 'd demonstrate .	1
For something that looks and tastes as impressive as this beef rouladen, it's actually one of the simplest stuffed meat recipes I know. You can pretty much use any cheap cut of beef; I used round steak, but rump, chuck, flap meat, and other similar cuts will work work.	for something that looks and tastes as impressive as this beef rouladen , it 's actually one of the simplest stuffed meat recipes i know . you can pretty much use any cheap cut of beef ; i used round stea k , but rump , chuck , flap meat , and other similar cuts will work work .	1
If you love chicken cordon bleu because of its winning flavor combination of chicken, ham, and Gruyere cheese, you'll love this sandwich. It has all the satisfying flavors of chicken cordon bleu with half the work!	if you love chicken cordon bleu because of its winning flavor combination of chicken , ham , and gruyere cheese , you 'll love this sandwich . it has all the satisfying flavors of chicken cordon bleu with half the work !	1
Certain dishes have a special place in my heart and this is one of them. The first real restaurant job I had in San Francisco was at a small place called Ryan's Cafe. It was run by a husband and wife team, Michael and Lenore Ryan. They were true 'foodies' before that term had even been coined. This chicken Marsala dish was the most popular dish on the menu and the first one that I was taught.	certain dishes have a special place in my heart and this is one of them . the first real restaurant job i had in san francisco was at a small place called ryan 's cafe . it was run by a husband and wife team , michael and lenore ryan . they were true ` foodies ' before that term had even been coined . this chicken marsala dish was the most popular dish on the menu and the first one that i was taught .	1
Chicken French has everything I love in a recipe. It's delicious and easy, frugal, yet fancy, and everyone loves it. Better yet, it has a vague, confusing history and completely preposterous name. This not-French recipe hails from the Rochester area of New York State, where it's a staple on virtually every Italian-American restaurant menu.	chicken french has everything i love in a recipe . it 's delicious and easy , frugal , yet fancy , and everyone loves it . better yet , it has a vague , confusing history and completely preposterous name . thi s not-french recipe hails from the rochester area of new york state , where it 's a staple on virtually every italian-american restaurant menu .	1
There is something special about what yogurt does to chicken in its smoky, sizzling time over charcoal. It imparts a tangy flavor that lifts all the other flavorings. It tenderizes slightly, without turning the meat into mush. It grills to a caramelized dark brown without tasting burnt.	there is something special about what yogurt does to chicken in its smoky , sizzling time over charcoal . it imparts a tangy flavor that lifts all the other flavorings . it tenderizes slightly , without t urning the meat into mush . it grills to a caramelized dark brown without tasting burnt .	1
I decided to not follow any specific recipe from any particular country or culture, but instead I made a simple composite of every peanut curry I've ever come across. I didn't use coconut milk, as I feel that's a little too sweet and rich for the peanut butter. I loved how this came out, and I can't imagine it being any richer.	i decided to not follow any specific recipe from any particular country or culture , but instead i made a simple composite of every peanut curry i 've ever come across . i did n't use coconut milk , as i f eel that 's a little too sweet and rich for the peanut butter . i loved how this came out , and i ca n't imagine it being any richer .	1
This sauce goes by many names, including Sunday sauce, since that's the day it's traditionally made, but for me growing up, this was just called 'sauce.' As long as you cook the meat long enough, and season thoughtfully, there's really no way this sauce isn't going to be great. So, while you may not have grown up in an Italian-American home, with this comforting sauce simmering on the stove every Sunday, your family still can. Serve the sauce over pasta and top with the tender meat.	this sauce goes by many names , including sunday sauce , since that 's the day it 's traditionally made , but for me growing up , this was just called ` sauce . ' as long as you cook the meat long enough , and season thoughtfully , there 's really no way this sauce is n't going to be great . so , while you may not have grown up in an italian-american home , with this comforting sauce simmering on the stove every sunday , your family still can . serve the sauce over pasta and top with the tender meat .	1
Simple to make, just dip and bake! Garlicky goodness in a breaded chicken dish. Yum!	simple to make , just dip and bake ! garlicky goodness in a breaded chicken dish . yum !	1
I wanted to make a quick and light recipe using quinoa, and I had some asparagus and red peppers in the fridge -- who knew that the combination could taste so good!	i wanted to make a quick and light recipe using quinoa , and i had some asparagus and red peppers in the fridge -- who knew that the combination could taste so good !	1
This is one of those rare recipes where the name is the same as the ingredient list. You're going to be so shocked at how flavorful, juicy, and amazing this roast chicken comes out.	this is one of those rare recipes where the name is the same as the ingredient list . you 're going to be so shocked at how flavorful , juicy , and amazing this roast chicken comes out .	1
I love chicken satay, that spicy meat on a stick, marinated and grilled and served with a peanut sauce. I tried to get that same effect with a chicken burger.	i love chicken satay , that spicy meat on a stick , marinated and grilled and served with a peanut sauce . i tried to get that same effect with a chicken burger .	1
In this rack of lamb recipe, we're actually roasting the meat over the sauce. And not just any sauce: we spiked this beurre rouge (red wine butter sauce) with fresh blueberries, and the small, dark fruit performed beautifully.	in this rack of lamb recipe , we 're actually roasting the meat over the sauce . and not just any sauce : we spiked this beurre rouge -lrb- red wine butter sauce -rrb- with fresh blueberries , and the small , dark fr uit performed beautifully .	1
This chicken has an Indian flair to it, but it is mild and will be loved by anyone who loves the flavor of cilantro. It requires some work so it is only for people who are adventurous and looking for something new. Adjust the amount of cilantro--adding up to an extra bunch--to suite your tastes. Try serving with bread and rice.	this chicken has an indian flair to it , but it is mild and will be loved by anyone who loves the flavor of cilantro . it requires some work so it is only for people who are adventurous and looking for something new . adjust the amount of cilantro -- adding up to an extra bunch -- to suite your tastes . try serving with bread and rice .	1
This stuffed, prosciutto-wrapped chicken breast has everything you want in a Valentine's Day entree; it looks fancy, it tastes amazing, and contains dried cherries, a known aphrodisiac.	this stuffed , prosciutto-wrapped chicken breast has everything you want in a valentine 's day entree ; it looks fancy , it tastes amazing , and contains dried cherries , a known aphrodisiac .	1
There aren't a lot of great uses for leftover pickle juice. I did hear recently that some people like to drink this stuff after jogging, which I found to be quite shocking, since I had no idea people still jogged. Like most brined recipes, the payoff is in the texture and moisture content and not necessarily in the taste. Having said that, these did have a nice little twang. So the next time you have nothing left in the pickle jar but the juice, you now know what to do.	there are n't a lot of great uses for leftover pickle juice . i did hear recently that some people like to drink this stuff after jogging , which i found to be quite shocking , since i had no idea people still jogged . like most brined recipes , the payoff is in the texture and moisture content and not necessarily in the taste . having said that , these did have a nice little twang . so the next time you h ave nothing left in the pickle jar but the juice , you now know what to do .	1
While not identical to a pan-fried, breaded cutlet, if you want to eat tender, flavorful chicken with lots of crispy, crunchy bits, then this significantly less-messy method is for you. One of the keys to this technique is to use panko breadcrumbs, which are much larger and more jagged than regular, fine breadcrumbs. This method also allows us to introduce some additional flavor, and moisture, thanks to the 'glue' we use to attach the crumbs.	while not identical to a pan-fried , breaded cutlet , if you want to eat tender , flavorful chicken with lots of crispy , crunchy bits , then this significantly less-messy method is for you . one of the key s to this technique is to use panko breadcrumbs , which are much larger and more jagged than regular , fine breadcrumbs . this method also allows us to introduce some additional flavor , and moisture , tha nks to the ` glue ' we use to attach the crumbs .	1
I love the tangy tenderization that the buttermilk provides. After the buttermilk soak, dredge the chicken pieces in seasoned flour, and fry them in hot oil until crisp and cooked.	i love the tangy tenderization that the buttermilk provides . after the buttermilk soak , dredge the chicken pieces in seasoned flour , and fry them in hot oil until crisp and cooked .	1
When I'm cooking corned beef, watching it simmer in the aromatic broth, I'll sometimes close my eyes and picture the delicious plate of food I have coming. The funny thing is, it's not the sliced corned beef and cabbage I'm dreaming of, it's the corned beef hash I'm going to be making with the leftovers. Garnish with green onions and a poached egg.	when i 'm cooking corned beef , watching it simmer in the aromatic broth , i 'll sometimes close my eyes and picture the delicious plate of food i have coming . the funny thing is , it 's not the sliced corn ed beef and cabbage i 'm dreaming of , it 's the corned beef hash i 'm going to be making with the leftovers . garnish with green onions and a poached egg .	1
This technique turns out beautifully light, tender gnocchi every time and are just as good, if not better, than the classic potato-based gnocchi. And much easier. Plus you can make them ahead of time and brown them in butter before serving.	this technique turns out beautifully light , tender gnocchi every time and are just as good , if not better , than the classic potato-based gnocchi . and much easier . plus you can make them ahead of time and brown them in butter before serving .	1
This is an easy-to-prepare, wonderful, flavorful pasta dish that gets rave reviews! I have had many friends ask me for this recipe. After my friends prepared this dish for their friends, their friends would ask my friends for it. Goes well with a crisp, green salad and garlic bread.	this is an easy-to-prepare , wonderful , flavorful pasta dish that gets rave reviews ! i have had many friends ask me for this recipe . after my friends prepared this dish for their friends , their friends would ask my friends for it . goes well with a crisp , green salad and garlic bread .	1
An Indonesian-Chinese stir-fry meal. All that you want in a meal. Delicious, fast, healthy, low calorie, and impressive. Serve it hot over white rice.	an indonesian-chinese stir-fry meal . all that you want in a meal . delicious , fast , healthy , low calorie , and impressive . serve it hot over white rice .	1
This is a quick and interesting recipe to prepare posole for unexpected guests or to take to a potluck party.  My husband loves it.  I have played around with this recipe A LOT.  You can use 1 (10 ounce) package of frozen corn instead of hominy, or delete the chilies or olives.  I prepare mine depending on whether children are going to eat it or not.	this is a quick and interesting recipe to prepare posole for unexpected guests or to take to a potluck party . my husband loves it . i have played around with this recipe a lot . you can use 1 -lrb- 10 oun ce -rrb- package of frozen corn instead of hominy , or delete the chilies or olives . i prepare mine depending on whether children are going to eat it or not .	1
Chicken, vegetables and pasta make up this filling salad which everyone seems to like, even people who don't like pasta salad. This is great for hot summer days when you just don't feel like turning on the oven. Note: the amounts here are estimates, as I rarely measure when I make this salad, so feel free to add a bit more or less of whatever you please.	chicken , vegetables and pasta make up this filling salad which everyone seems to like , even people who do n't like pasta salad . this is great for hot summer days when you just do n't feel like turning o n the oven . note : the amounts here are estimates , as i rarely measure when i make this salad , so feel free to add a bit more or less of whatever you please .	1
Fried green tomatoes are a southern American classic. Such an easy recipe! Serve with a little dollop of spicy remoulade sauce (which is Southern for tartar sauce). Oh yeah.	fried green tomatoes are a southern american classic . such an easy recipe ! serve with a little dollop of spicy remoulade sauce -lrb- which is southern for tartar sauce -rrb- . oh yeah .	1
I love a hearty beef chili as much as the next guy, but once in a while there's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili.	i love a hearty beef chili as much as the next guy , but once in a while there 's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili .	1
Not only does adding sweet potatoes to a burger bun make it more nutritious, delicious, and significantly more beautiful, but it also presents the perfect opportunity to get past your flour-amount phobia, and finally be able to make dough by feel. These are the perfect taste, texture, and appearance for a hamburger bun.	not only does adding sweet potatoes to a burger bun make it more nutritious , delicious , and significantly more beautiful , but it also presents the perfect opportunity to get past your flour-amount pho bia , and finally be able to make dough by feel . these are the perfect taste , texture , and appearance for a hamburger bun .	1
