So decadent yet so simple, you'll be saying 'flour who!?' when you let this sweet lava flow.	so decadent yet so simple , you 'll be saying ` flour who !? ' when you let this sweet lava flow .	1
Unbelievable chocolate decadence for a gluten-free recipe. Top with ice cream or whipped cream. Invite people over because... OMG!	unbelievable chocolate decadence for a gluten-free recipe . top with ice cream or whipped cream . invite people over because ... omg !	1
This cake won me First Prize at the county fair last year. It is very chocolaty.	this cake won me first prize at the county fair last year . it is very chocolaty .	1
Super spooky dark chocolate cake. Suitable for all your black magic get-togethers.	super spooky dark chocolate cake . suitable for all your black magic get-togethers .	1
I have made this recipe for years. My children always chose it for their birthday cake over any other, and it makes enough for a crowd. Moist and delicious. Very easy to make. Enjoy!	i have made this recipe for years . my children always chose it for their birthday cake over any other , and it makes enough for a crowd . moist and delicious . very easy to make . enjoy !	1
Fancy taste without all the work.  This cake is wonderful for a get together or just a special occasion at home.  Using a box cake mix as a base it's a real time saver!	fancy taste without all the work . this cake is wonderful for a get together or just a special occasion at home . using a box cake mix as a base it 's a real time saver !	1
A rich moist chocolate cake with a chocolate buttercream icing. This is the best cake in the world!	a rich moist chocolate cake with a chocolate buttercream icing . this is the best cake in the world !	1
This recipe features an icing made with cream cheese, cocoa, and cinnamon frosts this dark chocolate cake for an elegant dessert.	this recipe features an icing made with cream cheese , cocoa , and cinnamon frosts this dark chocolate cake for an elegant dessert .	1
This cake was popular during the depression, and does not have eggs in it.	this cake was popular during the depression , and does not have eggs in it .	1
This recipe is from a friend of my mother's. She used it for catering and has won the hearts of most who've tasted it. I've had to share this recipe with everyone who's been to one of my parties. Serve with whipped cream if desired.	this recipe is from a friend of my mother 's . she used it for catering and has won the hearts of most who 've tasted it . i 've had to share this recipe with everyone who 's been to one of my parties . serv e with whipped cream if desired .	1
This is a moist fudgy type cake. Sweet but not extremely sweet and makes good use of zucchini! You can frost it with chocolate frosting or cream cheese icing.	this is a moist fudgy type cake . sweet but not extremely sweet and makes good use of zucchini ! you can frost it with chocolate frosting or cream cheese icing .	1
This makes an excellent cheesecake, similar to one you would get in a restaurant. Great for special occasions! Garnish with white chocolate curls if desired.	this makes an excellent cheesecake , similar to one you would get in a restaurant . great for special occasions ! garnish with white chocolate curls if desired .	1
A spectacular German Chocolate cake made from scratch, using cake flour.	a spectacular german chocolate cake made from scratch , using cake flour .	1
Chocolate, chocolate, chocolate. This cake is so moist and rich there's absolutely no need for frosting. This cake made me an instant star with my clients. I quickly became known as 'that incredible chocolate cake lady!'	chocolate , chocolate , chocolate . this cake is so moist and rich there 's absolutely no need for frosting . this cake made me an instant star with my clients . i quickly became known as ` that incredible c hocolate cake lady ! '	1
This is a rich and moist chocolate cake. It only takes a few minutes to prepare the batter. Frost with your favorite chocolate frosting.	this is a rich and moist chocolate cake . it only takes a few minutes to prepare the batter . frost with your favorite chocolate frosting .	1
A very good high-protein alternative to flourless chocolate cake. Give it a try!	a very good high-protein alternative to flourless chocolate cake . give it a try !	1
These cupcakes are made from scratch with a stout beer, then filled with an Irish whiskey-chocolate filling and topped off with some Irish cream icing. These are perfect for St. Patrick's Day.	these cupcakes are made from scratch with a stout beer , then filled with an irish whiskey-chocolate filling and topped off with some irish cream icing . these are perfect for st. patrick 's day .	1
I made this once for a family gathering and now everyone insists that it be at every gathering!  It's so easy; you use a box cake mix! For chopping the chocolate bars, I put them in the freezer, then hit them with a hammer while still in the wrapper	i made this once for a family gathering and now everyone insists that it be at every gathering ! it 's so easy ; you use a box cake mix ! for chopping the chocolate bars , i put them in the freezer , then hit them with a hammer while still in the wrapper	1
St. Patrick's Day is right around the corner, and what better way to celebrate than with a loaf or two of Irish soda bread? If made correctly, this is one of the best quick breads (those leavened without yeast) you'll ever have. Subtly sweet, with a light, tender crumb, and not at all dry. You can use quick-cooking oats in place of rolled oats, if desired.	st. patrick 's day is right around the corner , and what better way to celebrate than with a loaf or two of irish soda bread ? if made correctly , this is one of the best quick breads -lrb- those leavened with out yeast -rrb- you 'll ever have . subtly sweet , with a light , tender crumb , and not at all dry . you can use quick-cooking oats in place of rolled oats , if desired .	1
I love chicken parm, especially when it's made with fresh mozzarella, which it almost never is in restaurants. Of course, at home we can use the real stuff, but it can be pricey. So I tried something new--a cheese spread using ricotta fortified with sharp Cheddar.	i love chicken parm , especially when it 's made with fresh mozzarella , which it almost never is in restaurants . of course , at home we can use the real stuff , but it can be pricey . so i tried something new -- a cheese spread using ricotta fortified with sharp cheddar .	1
I used a food processor for this tender, flaky pastry dough as it makes it so much easier to achieve the gorgeous 'breadcrumb' texture as you add the ice water. If you use the dough for a savory recipe, I'd cut down the sugar a bit, but not omit it entirely. The most important thing to remember is to use frozen butter and ice cold water.	i used a food processor for this tender , flaky pastry dough as it makes it so much easier to achieve the gorgeous ` breadcrumb ' texture as you add the ice water . if you use the dough for a savory recip e , i 'd cut down the sugar a bit , but not omit it entirely . the most important thing to remember is to use frozen butter and ice cold water .	1
Here's how I build a Cuban, or Cubano, sandwich. I like to use pulled pork. Carnitas would work too. These ingredients and amounts are open to your own personal preferences, but here's the general idea.	here 's how i build a cuban , or cubano , sandwich . i like to use pulled pork . carnitas would work too . these ingredients and amounts are open to your own personal preferences , but here 's the general ide a.	1
Not only does adding sweet potatoes to a burger bun make it more nutritious, delicious, and significantly more beautiful, but it also presents the perfect opportunity to get past your flour-amount phobia, and finally be able to make dough by feel. These are the perfect taste, texture, and appearance for a hamburger bun.	not only does adding sweet potatoes to a burger bun make it more nutritious , delicious , and significantly more beautiful , but it also presents the perfect opportunity to get past your flour-amount pho bia , and finally be able to make dough by feel . these are the perfect taste , texture , and appearance for a hamburger bun .	1
I tried making hollandaise sauce with cold butter instead of melted butter and all in one bowl. And it worked! The only way this doesn't work is if the heat is up too high, so keep an eye on that.	i tried making hollandaise sauce with cold butter instead of melted butter and all in one bowl . and it worked ! the only way this does n't work is if the heat is up too high , so keep an eye on that .	1
These hand pies, also known as turnovers, look too perfect to be homemade. Any of your favorite pie fillings, both sweet and savory, will work. I hope you give this easy technique a try soon. Enjoy!	these hand pies , also known as turnovers , look too perfect to be homemade . any of your favorite pie fillings , both sweet and savory , will work . i hope you give this easy technique a try soon . enjoy !	1
I love a hearty beef chili as much as the next guy, but once in a while there's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili.	i love a hearty beef chili as much as the next guy , but once in a while there 's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili .	1
This sauce goes by many names, including Sunday sauce, since that's the day it's traditionally made, but for me growing up, this was just called 'sauce.' As long as you cook the meat long enough, and season thoughtfully, there's really no way this sauce isn't going to be great. So, while you may not have grown up in an Italian-American home, with this comforting sauce simmering on the stove every Sunday, your family still can. Serve the sauce over pasta and top with the tender meat.	this sauce goes by many names , including sunday sauce , since that 's the day it 's traditionally made , but for me growing up , this was just called ` sauce . ' as long as you cook the meat long enough , and season thoughtfully , there 's really no way this sauce is n't going to be great . so , while you may not have grown up in an italian-american home , with this comforting sauce simmering on the stove every sunday , your family still can . serve the sauce over pasta and top with the tender meat .	1
When I'm cooking corned beef, watching it simmer in the aromatic broth, I'll sometimes close my eyes and picture the delicious plate of food I have coming. The funny thing is, it's not the sliced corned beef and cabbage I'm dreaming of, it's the corned beef hash I'm going to be making with the leftovers. Garnish with green onions and a poached egg.	when i 'm cooking corned beef , watching it simmer in the aromatic broth , i 'll sometimes close my eyes and picture the delicious plate of food i have coming . the funny thing is , it 's not the sliced corn ed beef and cabbage i 'm dreaming of , it 's the corned beef hash i 'm going to be making with the leftovers . garnish with green onions and a poached egg .	1
This recipe is very slightly adapted from one by someone called Friendlyfood on Allrecipes, who claims it was adapted from a version made at the Savoy Hotel in London. I have to say, I am very impressed. It was light, tender, moist and very delicious.	this recipe is very slightly adapted from one by someone called friendlyfood on allrecipes , who claims it was adapted from a version made at the savoy hotel in london . i have to say , i am very impress ed . it was light , tender , moist and very delicious .	1
This soul-warming soup is deliciously simple -- just chicken and noodles. What makes it so good is the homemade roasted chicken stock.	this soul-warming soup is deliciously simple -- just chicken and noodles . what makes it so good is the homemade roasted chicken stock .	1
The trick to keeping these oven-baked chicken wings crispy, is parboiling the wings in a flavorful liquid, which helps season the chicken and produce a surface texture in the oven that your guests will swear came straight out of a deep fryer.	the trick to keeping these oven-baked chicken wings crispy , is parboiling the wings in a flavorful liquid , which helps season the chicken and produce a surface texture in the oven that your guests wil l swear came straight out of a deep fryer .	1
Everybody likes chicken and rice. Just about every major culture has some sort of version of this archetypal recipe (by the way, people from minor cultures please save your emails). This is pure down-to-the-bone comfort food.	everybody likes chicken and rice . just about every major culture has some sort of version of this archetypal recipe -lrb- by the way , people from minor cultures please save your emails -rrb- . this is pure down - to-the-bone comfort food .	1
This delicious chicken recipe includes a simple exercise in pan gravy perfection. If I only had one day to teach someone how to cook, you better believe this archetypal sauce recipe would be one of the first things I'd demonstrate.	this delicious chicken recipe includes a simple exercise in pan gravy perfection . if i only had one day to teach someone how to cook , you better believe this archetypal sauce recipe would be one of th e first things i 'd demonstrate .	1
Mushrooms and halibut have a natural affinity for each other, and both are wonderful with the lemon-parsley butter sauce. So, whether you fear cooking fish or not, I hope you give this super simple yet fabulous recipe a try soon.	mushrooms and halibut have a natural affinity for each other , and both are wonderful with the lemon-parsley butter sauce . so , whether you fear cooking fish or not , i hope you give this super simple ye t fabulous recipe a try soon .	1
I love the tangy tenderization that the buttermilk provides. After the buttermilk soak, dredge the chicken pieces in seasoned flour, and fry them in hot oil until crisp and cooked.	i love the tangy tenderization that the buttermilk provides . after the buttermilk soak , dredge the chicken pieces in seasoned flour , and fry them in hot oil until crisp and cooked .	1
Fried green tomatoes are a southern American classic. Such an easy recipe! Serve with a little dollop of spicy remoulade sauce (which is Southern for tartar sauce). Oh yeah.	fried green tomatoes are a southern american classic . such an easy recipe ! serve with a little dollop of spicy remoulade sauce -lrb- which is southern for tartar sauce -rrb- . oh yeah .	1
Make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos. Note that this is a green chili made with chicken and not a chili made with green chicken. Sorry if this disappoints anyone. You can serve it with sour cream, avocado, cilantro, and corn tortillas or corn bread.	make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos . note that this is a green chili made with chicken and not a c hili made with green chicken . sorry if this disappoints anyone . you can serve it with sour cream , avocado , cilantro , and corn tortillas or corn bread .	1
While there is a nice dose of red curry powder in the braise, it's certainly not the dominant flavor. For something that might seem exotic and boldly-spiced, this a surprisingly mellow dish.	while there is a nice dose of red curry powder in the braise , it 's certainly not the dominant flavor . for something that might seem exotic and boldly-spiced , this a surprisingly mellow dish .	1
This is great for breakfast, lunch, and dinner, either hot, warm, or cold! This reminds me of spanakopita, a Greek spinach pastry.	this is great for breakfast , lunch , and dinner , either hot , warm , or cold ! this reminds me of spanakopita , a greek spinach pastry .	1
My Spicy Orange Chicken has the same flavor profile as its take-out counterpart, Orange Chicken: the sweet orange, the spicy chilies, and the Asian condiments. I make this without oil, making something much lighter and very tasty.	my spicy orange chicken has the same flavor profile as its take-out counterpart , orange chicken : the sweet orange , the spicy chilies , and the asian condiments . i make this without oil , making somethin g much lighter and very tasty .	1
For something that looks and tastes as impressive as this beef rouladen, it's actually one of the simplest stuffed meat recipes I know. You can pretty much use any cheap cut of beef; I used round steak, but rump, chuck, flap meat, and other similar cuts will work work.	for something that looks and tastes as impressive as this beef rouladen , it 's actually one of the simplest stuffed meat recipes i know . you can pretty much use any cheap cut of beef ; i used round stea k , but rump , chuck , flap meat , and other similar cuts will work work .	1
This technique turns out beautifully light, tender gnocchi every time and are just as good, if not better, than the classic potato-based gnocchi. And much easier. Plus you can make them ahead of time and brown them in butter before serving.	this technique turns out beautifully light , tender gnocchi every time and are just as good , if not better , than the classic potato-based gnocchi . and much easier . plus you can make them ahead of time and brown them in butter before serving .	1
This recipe is the best of three chicken dinner favorites--chicken and biscuits, chicken pot pie, and chicken and dumplings--all in one!	this recipe is the best of three chicken dinner favorites -- chicken and biscuits , chicken pot pie , and chicken and dumplings -- all in one !	1
The first time I had a spicy, cold rice noodle salad, it wasn't the bold flavors that caught me by surprise, but the strange and addictive texture.	the first time i had a spicy , cold rice noodle salad , it was n't the bold flavors that caught me by surprise , but the strange and addictive texture .	1
Make an easy homemade gravy out of chicken stock, heavy cream, butter, and flour.	make an easy homemade gravy out of chicken stock , heavy cream , butter , and flour .	1
I love lamb burgers and lamb meatballs, so it's no surprise that I love lamb-stuffed cabbage rolls, and I'm happy to report that these particular 'lambage rolls' were the best non-beef version yet!	i love lamb burgers and lamb meatballs , so it 's no surprise that i love lamb-stuffed cabbage rolls , and i 'm happy to report that these particular ` lambage rolls ' were the best non-beef version yet !	1
You can't keep showing up at these Super Bowl parties with a bag of chips every year. So, if you're ready to go from snack scrub to appetizer all-star, then give this great baked dip a try.	you ca n't keep showing up at these super bowl parties with a bag of chips every year . so , if you 're ready to go from snack scrub to appetizer all-star , then give this great baked dip a try .	1
This clam dip appetizer contains the same basic ingredient list as traditional clams casino, and while it really tastes nothing like its hot namesake, I think any fan of the clam dip will be very happy with it.	this clam dip appetizer contains the same basic ingredient list as traditional clams casino , and while it really tastes nothing like its hot namesake , i think any fan of the clam dip will be very happ y with it .	1
Chicken à la King is one of my favorite classic comfort foods. This recipe is easy to adapt--you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand. Usually I make this with leftovers from a large roasted chicken. Serve over pasta, toast, rice, or mashed potatoes.	chicken à la king is one of my favorite classic comfort foods . this recipe is easy to adapt -- you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand . usually i make this with leftovers from a large roasted chicken . serve over pasta , toast , rice , or mashed potatoes .	1
When I'm at a taqueria, it's hard to decide between the chicken with green sauce or with red sauce. Here's my version of the red sauce. It's great on a crispy tortilla and topped with the usual suspects.	when i 'm at a taqueria , it 's hard to decide between the chicken with green sauce or with red sauce . here 's my version of the red sauce . it 's great on a crispy tortilla and topped with the usual suspec ts .	1
Long ago, in my more oblivious days, I ordered 'boneless Buffalo wings,' only to be disappointed they weren't wings. It's a bit ironic that all these years later, I'm using chicken breast to create a Buffalo wing alternative, but at least I'm not trying to trick anybody. Less messy than bone-in Buffalo wings and more eventful than the 'boneless' kind, these Buffalo chicken egg rolls are a party snack breakthrough. Serve alongside more hot sauce and celery.	long ago , in my more oblivious days , i ordered ` boneless buffalo wings , ' only to be disappointed they were n't wings . it 's a bit ironic that all these years later , i 'm using chicken breast to create a buffalo wing alternative , but at least i 'm not trying to trick anybody . less messy than bone-in buffalo wings and more eventful than the ` boneless ' kind , these buffalo chicken egg rolls are a party sn ack breakthrough . serve alongside more hot sauce and celery .	1
This stunning dish is an amazing combination of sweet, spicy, and salty flavors all sticking to succulent pieces of chicken.	this stunning dish is an amazing combination of sweet , spicy , and salty flavors all sticking to succulent pieces of chicken .	1
There is something special about what yogurt does to chicken in its smoky, sizzling time over charcoal. It imparts a tangy flavor that lifts all the other flavorings. It tenderizes slightly, without turning the meat into mush. It grills to a caramelized dark brown without tasting burnt.	there is something special about what yogurt does to chicken in its smoky , sizzling time over charcoal . it imparts a tangy flavor that lifts all the other flavorings . it tenderizes slightly , without t urning the meat into mush . it grills to a caramelized dark brown without tasting burnt .	1
Chicken French has everything I love in a recipe. It's delicious and easy, frugal, yet fancy, and everyone loves it. Better yet, it has a vague, confusing history and completely preposterous name. This not-French recipe hails from the Rochester area of New York State, where it's a staple on virtually every Italian-American restaurant menu.	chicken french has everything i love in a recipe . it 's delicious and easy , frugal , yet fancy , and everyone loves it . better yet , it has a vague , confusing history and completely preposterous name . thi s not-french recipe hails from the rochester area of new york state , where it 's a staple on virtually every italian-american restaurant menu .	1
This is one of those rare recipes where the name is the same as the ingredient list. You're going to be so shocked at how flavorful, juicy, and amazing this roast chicken comes out.	this is one of those rare recipes where the name is the same as the ingredient list . you 're going to be so shocked at how flavorful , juicy , and amazing this roast chicken comes out .	1
I love chicken satay, that spicy meat on a stick, marinated and grilled and served with a peanut sauce. I tried to get that same effect with a chicken burger.	i love chicken satay , that spicy meat on a stick , marinated and grilled and served with a peanut sauce . i tried to get that same effect with a chicken burger .	1
Despite the rich and decadent mascarpone, the sauce for this spaghetti is actually pretty light; much of the sauce is chicken broth and squash.	despite the rich and decadent mascarpone , the sauce for this spaghetti is actually pretty light ; much of the sauce is chicken broth and squash .	1
If you've got to eat your broccoli, this is a great way to do it. A beautiful side dish of broccoli and angel hair pasta with red pepper flakes is so delicious and so aromatic.	if you 've got to eat your broccoli , this is a great way to do it . a beautiful side dish of broccoli and angel hair pasta with red pepper flakes is so delicious and so aromatic .	1
I decided to not follow any specific recipe from any particular country or culture, but instead I made a simple composite of every peanut curry I've ever come across. I didn't use coconut milk, as I feel that's a little too sweet and rich for the peanut butter. I loved how this came out, and I can't imagine it being any richer.	i decided to not follow any specific recipe from any particular country or culture , but instead i made a simple composite of every peanut curry i 've ever come across . i did n't use coconut milk , as i f eel that 's a little too sweet and rich for the peanut butter . i loved how this came out , and i ca n't imagine it being any richer .	1
Certain dishes have a special place in my heart and this is one of them. The first real restaurant job I had in San Francisco was at a small place called Ryan's Cafe. It was run by a husband and wife team, Michael and Lenore Ryan. They were true 'foodies' before that term had even been coined. This chicken Marsala dish was the most popular dish on the menu and the first one that I was taught.	certain dishes have a special place in my heart and this is one of them . the first real restaurant job i had in san francisco was at a small place called ryan 's cafe . it was run by a husband and wife team , michael and lenore ryan . they were true ` foodies ' before that term had even been coined . this chicken marsala dish was the most popular dish on the menu and the first one that i was taught .	1
You'll need a large, heavy-duty roasting pan (or a couple of smaller ones) and a very hot oven for this delicious dish. The long oven time makes everything beautifully caramelized and the chicken fork tender.	you 'll need a large , heavy-duty roasting pan -lrb- or a couple of smaller ones -rrb- and a very hot oven for this delicious dish . the long oven time makes everything beautifully caramelized and the chicken fork tender .	1
At some point this summer, you'll get tired of grilled chicken. No matter the marinade or the delivery system, you will simply reach your limit, and that's when you need to reach for the chorizo. Impale a few slices of this famously delicious Spanish sausage in between your chunks of chicken. As it grills it will splatter its spicy, smokey fat all over its much blander skewer-mate, and once again you and grilled chicken will be good buddies.	at some point this summer , you 'll get tired of grilled chicken . no matter the marinade or the delivery system , you will simply reach your limit , and that 's when you need to reach for the chorizo . impa le a few slices of this famously delicious spanish sausage in between your chunks of chicken . as it grills it will splatter its spicy , smokey fat all over its much blander skewer-mate , and once again you and grilled chicken will be good buddies .	1
These colors don't run, but they do stain, so I recommend eating this delicious, red, white and blueberry chicken outdoors at a barbeque. Smoky, spicy meats have been paired with sweet-and-sour, fruit-based sauces since we've had cooks, so that this combo works beautifully is no big surprise. And yes, other juicy fruit like peaches, or other berries will work nicely.	these colors do n't run , but they do stain , so i recommend eating this delicious , red , white and blueberry chicken outdoors at a barbeque . smoky , spicy meats have been paired with sweet-and-sour , fruit - based sauces since we 've had cooks , so that this combo works beautifully is no big surprise . and yes , other juicy fruit like peaches , or other berries will work nicely .	1
This stuffed, prosciutto-wrapped chicken breast has everything you want in a Valentine's Day entree; it looks fancy, it tastes amazing, and contains dried cherries, a known aphrodisiac.	this stuffed , prosciutto-wrapped chicken breast has everything you want in a valentine 's day entree ; it looks fancy , it tastes amazing , and contains dried cherries , a known aphrodisiac .	1
There aren't a lot of great uses for leftover pickle juice. I did hear recently that some people like to drink this stuff after jogging, which I found to be quite shocking, since I had no idea people still jogged. Like most brined recipes, the payoff is in the texture and moisture content and not necessarily in the taste. Having said that, these did have a nice little twang. So the next time you have nothing left in the pickle jar but the juice, you now know what to do.	there are n't a lot of great uses for leftover pickle juice . i did hear recently that some people like to drink this stuff after jogging , which i found to be quite shocking , since i had no idea people still jogged . like most brined recipes , the payoff is in the texture and moisture content and not necessarily in the taste . having said that , these did have a nice little twang . so the next time you h ave nothing left in the pickle jar but the juice , you now know what to do .	1
