So decadent yet so simple, you'll be saying 'flour who!?' when you let this sweet lava flow.	so decadent yet so simple , you 'll be saying ` flour who !? ' when you let this sweet lava flow .	1
Make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos. Note that this is a green chili made with chicken and not a chili made with green chicken. Sorry if this disappoints anyone. You can serve it with sour cream, avocado, cilantro, and corn tortillas or corn bread.	make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos . note that this is a green chili made with chicken and not a c hili made with green chicken . sorry if this disappoints anyone . you can serve it with sour cream , avocado , cilantro , and corn tortillas or corn bread .	1
While there is a nice dose of red curry powder in the braise, it's certainly not the dominant flavor. For something that might seem exotic and boldly-spiced, this a surprisingly mellow dish.	while there is a nice dose of red curry powder in the braise , it 's certainly not the dominant flavor . for something that might seem exotic and boldly-spiced , this a surprisingly mellow dish .	1
This is great for breakfast, lunch, and dinner, either hot, warm, or cold! This reminds me of spanakopita, a Greek spinach pastry.	this is great for breakfast , lunch , and dinner , either hot , warm , or cold ! this reminds me of spanakopita , a greek spinach pastry .	1
My Spicy Orange Chicken has the same flavor profile as its take-out counterpart, Orange Chicken: the sweet orange, the spicy chilies, and the Asian condiments. I make this without oil, making something much lighter and very tasty.	my spicy orange chicken has the same flavor profile as its take-out counterpart , orange chicken : the sweet orange , the spicy chilies , and the asian condiments . i make this without oil , making somethin g much lighter and very tasty .	1
For something that looks and tastes as impressive as this beef rouladen, it's actually one of the simplest stuffed meat recipes I know. You can pretty much use any cheap cut of beef; I used round steak, but rump, chuck, flap meat, and other similar cuts will work work.	for something that looks and tastes as impressive as this beef rouladen , it 's actually one of the simplest stuffed meat recipes i know . you can pretty much use any cheap cut of beef ; i used round stea k , but rump , chuck , flap meat , and other similar cuts will work work .	1
This technique turns out beautifully light, tender gnocchi every time and are just as good, if not better, than the classic potato-based gnocchi. And much easier. Plus you can make them ahead of time and brown them in butter before serving.	this technique turns out beautifully light , tender gnocchi every time and are just as good , if not better , than the classic potato-based gnocchi . and much easier . plus you can make them ahead of time and brown them in butter before serving .	1
This recipe is the best of three chicken dinner favorites--chicken and biscuits, chicken pot pie, and chicken and dumplings--all in one!	this recipe is the best of three chicken dinner favorites -- chicken and biscuits , chicken pot pie , and chicken and dumplings -- all in one !	1
The first time I had a spicy, cold rice noodle salad, it wasn't the bold flavors that caught me by surprise, but the strange and addictive texture.	the first time i had a spicy , cold rice noodle salad , it was n't the bold flavors that caught me by surprise , but the strange and addictive texture .	1
Make an easy homemade gravy out of chicken stock, heavy cream, butter, and flour.	make an easy homemade gravy out of chicken stock , heavy cream , butter , and flour .	1
I love lamb burgers and lamb meatballs, so it's no surprise that I love lamb-stuffed cabbage rolls, and I'm happy to report that these particular 'lambage rolls' were the best non-beef version yet!	i love lamb burgers and lamb meatballs , so it 's no surprise that i love lamb-stuffed cabbage rolls , and i 'm happy to report that these particular ` lambage rolls ' were the best non-beef version yet !	1
You can't keep showing up at these Super Bowl parties with a bag of chips every year. So, if you're ready to go from snack scrub to appetizer all-star, then give this great baked dip a try.	you ca n't keep showing up at these super bowl parties with a bag of chips every year . so , if you 're ready to go from snack scrub to appetizer all-star , then give this great baked dip a try .	1
This clam dip appetizer contains the same basic ingredient list as traditional clams casino, and while it really tastes nothing like its hot namesake, I think any fan of the clam dip will be very happy with it.	this clam dip appetizer contains the same basic ingredient list as traditional clams casino , and while it really tastes nothing like its hot namesake , i think any fan of the clam dip will be very happ y with it .	1
Chicken à la King is one of my favorite classic comfort foods. This recipe is easy to adapt--you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand. Usually I make this with leftovers from a large roasted chicken. Serve over pasta, toast, rice, or mashed potatoes.	chicken à la king is one of my favorite classic comfort foods . this recipe is easy to adapt -- you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand . usually i make this with leftovers from a large roasted chicken . serve over pasta , toast , rice , or mashed potatoes .	1
When I'm at a taqueria, it's hard to decide between the chicken with green sauce or with red sauce. Here's my version of the red sauce. It's great on a crispy tortilla and topped with the usual suspects.	when i 'm at a taqueria , it 's hard to decide between the chicken with green sauce or with red sauce . here 's my version of the red sauce . it 's great on a crispy tortilla and topped with the usual suspec ts .	1
Long ago, in my more oblivious days, I ordered 'boneless Buffalo wings,' only to be disappointed they weren't wings. It's a bit ironic that all these years later, I'm using chicken breast to create a Buffalo wing alternative, but at least I'm not trying to trick anybody. Less messy than bone-in Buffalo wings and more eventful than the 'boneless' kind, these Buffalo chicken egg rolls are a party snack breakthrough. Serve alongside more hot sauce and celery.	long ago , in my more oblivious days , i ordered ` boneless buffalo wings , ' only to be disappointed they were n't wings . it 's a bit ironic that all these years later , i 'm using chicken breast to create a buffalo wing alternative , but at least i 'm not trying to trick anybody . less messy than bone-in buffalo wings and more eventful than the ` boneless ' kind , these buffalo chicken egg rolls are a party sn ack breakthrough . serve alongside more hot sauce and celery .	1
This stunning dish is an amazing combination of sweet, spicy, and salty flavors all sticking to succulent pieces of chicken.	this stunning dish is an amazing combination of sweet , spicy , and salty flavors all sticking to succulent pieces of chicken .	1
There is something special about what yogurt does to chicken in its smoky, sizzling time over charcoal. It imparts a tangy flavor that lifts all the other flavorings. It tenderizes slightly, without turning the meat into mush. It grills to a caramelized dark brown without tasting burnt.	there is something special about what yogurt does to chicken in its smoky , sizzling time over charcoal . it imparts a tangy flavor that lifts all the other flavorings . it tenderizes slightly , without t urning the meat into mush . it grills to a caramelized dark brown without tasting burnt .	1
Chicken French has everything I love in a recipe. It's delicious and easy, frugal, yet fancy, and everyone loves it. Better yet, it has a vague, confusing history and completely preposterous name. This not-French recipe hails from the Rochester area of New York State, where it's a staple on virtually every Italian-American restaurant menu.	chicken french has everything i love in a recipe . it 's delicious and easy , frugal , yet fancy , and everyone loves it . better yet , it has a vague , confusing history and completely preposterous name . thi s not-french recipe hails from the rochester area of new york state , where it 's a staple on virtually every italian-american restaurant menu .	1
This is one of those rare recipes where the name is the same as the ingredient list. You're going to be so shocked at how flavorful, juicy, and amazing this roast chicken comes out.	this is one of those rare recipes where the name is the same as the ingredient list . you 're going to be so shocked at how flavorful , juicy , and amazing this roast chicken comes out .	1
I love chicken satay, that spicy meat on a stick, marinated and grilled and served with a peanut sauce. I tried to get that same effect with a chicken burger.	i love chicken satay , that spicy meat on a stick , marinated and grilled and served with a peanut sauce . i tried to get that same effect with a chicken burger .	1
Despite the rich and decadent mascarpone, the sauce for this spaghetti is actually pretty light; much of the sauce is chicken broth and squash.	despite the rich and decadent mascarpone , the sauce for this spaghetti is actually pretty light ; much of the sauce is chicken broth and squash .	1
If you've got to eat your broccoli, this is a great way to do it. A beautiful side dish of broccoli and angel hair pasta with red pepper flakes is so delicious and so aromatic.	if you 've got to eat your broccoli , this is a great way to do it . a beautiful side dish of broccoli and angel hair pasta with red pepper flakes is so delicious and so aromatic .	1
I decided to not follow any specific recipe from any particular country or culture, but instead I made a simple composite of every peanut curry I've ever come across. I didn't use coconut milk, as I feel that's a little too sweet and rich for the peanut butter. I loved how this came out, and I can't imagine it being any richer.	i decided to not follow any specific recipe from any particular country or culture , but instead i made a simple composite of every peanut curry i 've ever come across . i did n't use coconut milk , as i f eel that 's a little too sweet and rich for the peanut butter . i loved how this came out , and i ca n't imagine it being any richer .	1
Certain dishes have a special place in my heart and this is one of them. The first real restaurant job I had in San Francisco was at a small place called Ryan's Cafe. It was run by a husband and wife team, Michael and Lenore Ryan. They were true 'foodies' before that term had even been coined. This chicken Marsala dish was the most popular dish on the menu and the first one that I was taught.	certain dishes have a special place in my heart and this is one of them . the first real restaurant job i had in san francisco was at a small place called ryan 's cafe . it was run by a husband and wife team , michael and lenore ryan . they were true ` foodies ' before that term had even been coined . this chicken marsala dish was the most popular dish on the menu and the first one that i was taught .	1
You'll need a large, heavy-duty roasting pan (or a couple of smaller ones) and a very hot oven for this delicious dish. The long oven time makes everything beautifully caramelized and the chicken fork tender.	you 'll need a large , heavy-duty roasting pan -lrb- or a couple of smaller ones -rrb- and a very hot oven for this delicious dish . the long oven time makes everything beautifully caramelized and the chicken fork tender .	1
At some point this summer, you'll get tired of grilled chicken. No matter the marinade or the delivery system, you will simply reach your limit, and that's when you need to reach for the chorizo. Impale a few slices of this famously delicious Spanish sausage in between your chunks of chicken. As it grills it will splatter its spicy, smokey fat all over its much blander skewer-mate, and once again you and grilled chicken will be good buddies.	at some point this summer , you 'll get tired of grilled chicken . no matter the marinade or the delivery system , you will simply reach your limit , and that 's when you need to reach for the chorizo . impa le a few slices of this famously delicious spanish sausage in between your chunks of chicken . as it grills it will splatter its spicy , smokey fat all over its much blander skewer-mate , and once again you and grilled chicken will be good buddies .	1
These colors don't run, but they do stain, so I recommend eating this delicious, red, white and blueberry chicken outdoors at a barbeque. Smoky, spicy meats have been paired with sweet-and-sour, fruit-based sauces since we've had cooks, so that this combo works beautifully is no big surprise. And yes, other juicy fruit like peaches, or other berries will work nicely.	these colors do n't run , but they do stain , so i recommend eating this delicious , red , white and blueberry chicken outdoors at a barbeque . smoky , spicy meats have been paired with sweet-and-sour , fruit - based sauces since we 've had cooks , so that this combo works beautifully is no big surprise . and yes , other juicy fruit like peaches , or other berries will work nicely .	1
This stuffed, prosciutto-wrapped chicken breast has everything you want in a Valentine's Day entree; it looks fancy, it tastes amazing, and contains dried cherries, a known aphrodisiac.	this stuffed , prosciutto-wrapped chicken breast has everything you want in a valentine 's day entree ; it looks fancy , it tastes amazing , and contains dried cherries , a known aphrodisiac .	1
There aren't a lot of great uses for leftover pickle juice. I did hear recently that some people like to drink this stuff after jogging, which I found to be quite shocking, since I had no idea people still jogged. Like most brined recipes, the payoff is in the texture and moisture content and not necessarily in the taste. Having said that, these did have a nice little twang. So the next time you have nothing left in the pickle jar but the juice, you now know what to do.	there are n't a lot of great uses for leftover pickle juice . i did hear recently that some people like to drink this stuff after jogging , which i found to be quite shocking , since i had no idea people still jogged . like most brined recipes , the payoff is in the texture and moisture content and not necessarily in the taste . having said that , these did have a nice little twang . so the next time you h ave nothing left in the pickle jar but the juice , you now know what to do .	1
While not identical to a pan-fried, breaded cutlet, if you want to eat tender, flavorful chicken with lots of crispy, crunchy bits, then this significantly less-messy method is for you. One of the keys to this technique is to use panko breadcrumbs, which are much larger and more jagged than regular, fine breadcrumbs. This method also allows us to introduce some additional flavor, and moisture, thanks to the 'glue' we use to attach the crumbs.	while not identical to a pan-fried , breaded cutlet , if you want to eat tender , flavorful chicken with lots of crispy , crunchy bits , then this significantly less-messy method is for you . one of the key s to this technique is to use panko breadcrumbs , which are much larger and more jagged than regular , fine breadcrumbs . this method also allows us to introduce some additional flavor , and moisture , tha nks to the ` glue ' we use to attach the crumbs .	1
This is by far the best stuffing recipe I have ever had. I have made it for the last 3 Thanksgivings and everyone has raved about it. It is very unique and the flavors are so delicious!!! Serve this up for Thanksgiving and your guests will be asking for the recipe!!!	this is by far the best stuffing recipe i have ever had . i have made it for the last 3 thanksgivings and everyone has raved about it . it is very unique and the flavors are so delicious !!! serve this u p for thanksgiving and your guests will be asking for the recipe !!!	1
This simple Italian dish is packed with chicken, peppers, mushrooms and herbs for a satisfying one pot meal.	this simple italian dish is packed with chicken , peppers , mushrooms and herbs for a satisfying one pot meal .	1
I've always considered myself something of a fried chicken expert. I've pretty much had every single style known to man and this Korean fried chicken is officially my favorite. No other method I've come across has the same combination of tender, juicy, flavorful chicken and plate-scratching crispiness as this recipe does. It's simply a must-try!	i 've always considered myself something of a fried chicken expert . i 've pretty much had every single style known to man and this korean fried chicken is officially my favorite . no other method i 've co me across has the same combination of tender , juicy , flavorful chicken and plate-scratching crispiness as this recipe does . it 's simply a must-try !	1
Is there anything less inspiring than a boneless-skinless chicken breast? How do we turn this culinary snoozer into something worthwhile? Fry it.	is there anything less inspiring than a boneless-skinless chicken breast ? how do we turn this culinary snoozer into something worthwhile ? fry it .	1
Aunt Mary's was a popular brunch restaurant in San Francisco that served Mexican and Salvadoran dishes. My wife and I went every Sunday for a late breakfast. She always ordered Huevos Rancheros; my usual was Pollo en Crema.	aunt mary 's was a popular brunch restaurant in san francisco that served mexican and salvadoran dishes . my wife and i went every sunday for a late breakfast . she always ordered huevos rancheros ; my us ual was pollo en crema .	1
I have enjoyed teriyaki many times at Japanese restaurants. If I've made it at home I've probably just bought a bottle of teriyaki sauce and brushed it on some chicken. This is an authentic version. I'm very glad I did it. The term teriyaki comes from of two Japanese words ‘teri' and ‘yaki'. Teri refers to the shine or luster of the glazed sauce, and yaki means to broil or grill the meat.	i have enjoyed teriyaki many times at japanese restaurants . if i 've made it at home i 've probably just bought a bottle of teriyaki sauce and brushed it on some chicken . this is an authentic version . i 'm very glad i did it . the term teriyaki comes from of two japanese words ` teri ' and ` yaki ' . teri refers to the shine or luster of the glazed sauce , and yaki means to broil or grill the meat .	1
There's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it's cooked. Sure, you have to stir it a few times, and it helps if you add stuff in the right order. But for how delicious this comes out, you're doing very little actual work.	there 's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it 's cooked . sure , you have to s tir it a few times , and it helps if you add stuff in the right order . but for how delicious this comes out , you 're doing very little actual work .	1
Orzo gets cooked risotto-style, using a flavorful stock made with braised chicken and sausage.	orzo gets cooked risotto-style , using a flavorful stock made with braised chicken and sausage .	1
When it comes to mustard, sweet-hot works amazingly well, especially as a glaze for chicken. Even though we are using skin-on bone-in chicken thighs, I'm sure it will work with any cut of chicken. By the time this is done, it doesn't have a super-strong mustard flavor. It gets mellowed out by the brown sugar and spices. The old saying 'The closer the bone, the sweeter the meat' really is true. Leaving in the bones adds a lot of flavor and juiciness.	when it comes to mustard , sweet-hot works amazingly well , especially as a glaze for chicken . even though we are using skin-on bone-in chicken thighs , i 'm sure it will work with any cut of chicken . by the time this is done , it does n't have a super-strong mustard flavor . it gets mellowed out by the brown sugar and spices . the old saying ` the closer the bone , the sweeter the meat ' really is true . lea ving in the bones adds a lot of flavor and juiciness .	1
This may not be an authentic Yucatan peninsula recipe, but it's just like a similarly named dish I had at a sports bar. It has vibrant citrus/chile flavors and a beautiful orange hue from ground annatto.	this may not be an authentic yucatan peninsula recipe , but it 's just like a similarly named dish i had at a sports bar . it has vibrant citrus/chile flavors and a beautiful orange hue from ground annat to .	1
Baby carrots cooked in a honey, butter, ginger, and lemon glaze. This goes really well with peppercorn steak and cheesecake.	baby carrots cooked in a honey , butter , ginger , and lemon glaze . this goes really well with peppercorn steak and cheesecake .	1
Brussels sprouts with bacon and garlic are skillet-braised until tender and delicious.	brussels sprouts with bacon and garlic are skillet-braised until tender and delicious .	1
Brussels Sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds.  This recipe has made Brussels sprouts lovers out of haters.	brussels sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds . this recipe has made brussels sprouts lovers out of haters .	1
We've taken some short cuts to make a quick version of the French classic, cassoulet. Chicken thighs replace the classic, and time-consuming, duck confit; canned beans replace dried; and bacon serves as a convenient substitute for other, more involved smoked pork options.	we 've taken some short cuts to make a quick version of the french classic , cassoulet . chicken thighs replace the classic , and time-consuming , duck confit ; canned beans replace dried ; and bacon serves as a convenient substitute for other , more involved smoked pork options .	1
This chicken has an Indian flair to it, but it is mild and will be loved by anyone who loves the flavor of cilantro. It requires some work so it is only for people who are adventurous and looking for something new. Adjust the amount of cilantro--adding up to an extra bunch--to suite your tastes. Try serving with bread and rice.	this chicken has an indian flair to it , but it is mild and will be loved by anyone who loves the flavor of cilantro . it requires some work so it is only for people who are adventurous and looking for something new . adjust the amount of cilantro -- adding up to an extra bunch -- to suite your tastes . try serving with bread and rice .	1
I served these spicy grilled game hens on a bed of romaine lettuce with a spoonful of the Calabrian chile paste for garnish. It's a very delicious, flavorful, moist chicken.	i served these spicy grilled game hens on a bed of romaine lettuce with a spoonful of the calabrian chile paste for garnish . it 's a very delicious , flavorful , moist chicken .	1
This simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of South American cooking. It's great served over pasta or rice.	this simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of south american cooking . it 's great served over pasta or rice .	1
My friend's wife introduced me to this recipe. I HATE broccoli, but loved this soup. I ate every drop. It's simple and good!	my friend 's wife introduced me to this recipe . i hate broccoli , but loved this soup . i ate every drop . it 's simple and good !	1
The last recipe you'll ever have to get for Baked Potato Soup.  It's thick soup and could be served with just a salad.  Everyone in the family will love this one.	the last recipe you 'll ever have to get for baked potato soup . it 's thick soup and could be served with just a salad . everyone in the family will love this one .	1
This chicken and mushrooms recipe video is an experiment in extreme self-control; I wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms.	this chicken and mushrooms recipe video is an experiment in extreme self-control ; i wanted to challenge myself to make a chicken and mushrooms recipe using only chicken and mushrooms .	1
If you can't decide whether to make a BLT sandwich or a pasta, now you can do both. The combination of bacon, lettuce, and tomato has a proven track record of deliciousness!	if you ca n't decide whether to make a blt sandwich or a pasta , now you can do both . the combination of bacon , lettuce , and tomato has a proven track record of deliciousness !	1
Most of the ingredients for this Thai-inspired soup can be found in the supermarket. The red curry paste is spicy, but by controlling the amount of paste you add, you can tailor this to your own threshold of pain.	most of the ingredients for this thai-inspired soup can be found in the supermarket . the red curry paste is spicy , but by controlling the amount of paste you add , you can tailor this to your own thres hold of pain .	1
This simple broccoli salad kicks up ordinary broccoli with some lemon and red pepper flakes.	this simple broccoli salad kicks up ordinary broccoli with some lemon and red pepper flakes .	1
If you love chicken cordon bleu because of its winning flavor combination of chicken, ham, and Gruyere cheese, you'll love this sandwich. It has all the satisfying flavors of chicken cordon bleu with half the work!	if you love chicken cordon bleu because of its winning flavor combination of chicken , ham , and gruyere cheese , you 'll love this sandwich . it has all the satisfying flavors of chicken cordon bleu with half the work !	1
Serve this with a hearty appetite.	serve this with a hearty appetite .	1
This dry mix of herbs and spices adds a unique zing to any chicken dish, it has just the right amount of heat and flavor to make all your guests beg for more. Don't be scared by the long list, most of it is spices you will probably have in your cupboard. Note, it also gives chili a great flavor without adding too much heat.	this dry mix of herbs and spices adds a unique zing to any chicken dish , it has just the right amount of heat and flavor to make all your guests beg for more . do n't be scared by the long list , most of it is spices you will probably have in your cupboard . note , it also gives chili a great flavor without adding too much heat .	1
This is a great cold weather meal, although it's delicious anytime of the year.	this is a great cold weather meal , although it 's delicious anytime of the year .	1
This recipe is thick and flavorful.  It is simple, delicious, and quick to make, enjoy (I know you will).	this recipe is thick and flavorful . it is simple , delicious , and quick to make , enjoy -lrb- i know you will -rrb- .	1
My husband loves Panera&reg; broccoli cheddar soup but it went up in price and therefore we set out on a hunt to create the perfect broccoli cheddar soup. Here is what we came up with. There are tons of variations and options to make this soup your own. You can add extra veggies, different cheeses, garlic to your onions, a little nutmeg to the finished soup, green onions, sour cream, etc. The list goes on and on. Make it your own! Serve topped with cheese!	my husband loves panera & reg ; broccoli cheddar soup but it went up in price and therefore we set out on a hunt to create the perfect broccoli cheddar soup . here is what we came up with . there are tons of variations and options to make this soup your own . you can add extra veggies , different cheeses , garlic to your onions , a little nutmeg to the finished soup , green onions , sour cream , etc. . the list goes on and on . make it your own ! serve topped with cheese !	1
This recipe's roots can be traced back to the Great Depression, when farmers first began selling the unripe peppers out of necessity. Of course, we did what Americans always do when faced with a new variety of food, we stuffed meat in it.	this recipe 's roots can be traced back to the great depression , when farmers first began selling the unripe peppers out of necessity . of course , we did what americans always do when faced with a new v ariety of food , we stuffed meat in it .	1
Who doesn't love a nice red velvet cake in cupcake form? They're moist, not too sweet, and they've got a gorgeous color. Serve these spread with cream cheese frosting.	who does n't love a nice red velvet cake in cupcake form ? they 're moist , not too sweet , and they 've got a gorgeous color . serve these spread with cream cheese frosting .	1
An extremely delicious meal: the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce. Be sure to taste and salt before serving, because depending on what kind of chicken broth you use, the dish may require no salt at all or may be extremely under-salted.	an extremely delicious meal : the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce . be sure to taste and salt before serving , becaus e depending on what kind of chicken broth you use , the dish may require no salt at all or may be extremely under-salted .	1
Lovingly known as just 'green spaghetti' in our family, this pesto is unique because of the addition of cream cheese which gives it a great creamy texture (plus no pine nuts!).	lovingly known as just ` green spaghetti ' in our family , this pesto is unique because of the addition of cream cheese which gives it a great creamy texture -lrb- plus no pine nuts ! -rrb- .	1
